HRD	Telomeric AI	LST	HRD-sum
OB_17_0134.T1	3	25	19	47
OB_17_0134.T2	6	9	21	36
OB_17_0155.T1	6	24	27	57
OB_17_0155.T2	6	11	18	35
OB_17_0155.T3	8	19	17	44
OB_17_0166.T1	1	18	20	39
OB_17_0166.T2	5	18	17	40
OB_17_0169.T1	7	18	20	45
OB_17_0169.T2	5	21	17	43
OB_17_0171.T1	7	23	25	55
OB_17_0171.T2	6	30	29	65
OB_17_0179.T1	1	27	18	46
OB_17_0179.T2	5	16	26	47
OB_17_0181.T1	5	21	18	44
OB_17_0181.T2	2	20	14	36
OB_17_0183.T1	7	36	19	62
OB_17_0202.T1	19	32	28	79
OB_17_0202.T2	3	14	22	39
OB_17_0230.T1	2	23	24	49
OB_17_0230.T2	0	8	19	27
OB_17_0234.T1	0	22	16	38
OB_17_0234.T2	4	24	24	52
OB_17_0234.T3	11	14	4	29
OB_17_0245.T1	5	16	29	50
OB_17_0245.T2	10	17	24	51
OB_17_0249.T1	2	24	26	52
OB_17_0249.T2	3	12	24	39
OB_17_0255.T2	0	17	23	40
OB_17_0257.T1	7	16	12	35
OB_17_0257.T2	3	22	20	45
OB_17_0266.T1	4	25	19	48
OB_17_0266.T2	2	19	24	45
OB_17_0275.T1	4	21	15	40
OB_17_0275.T2	9	32	14	55
OB_17_0278.T1	3	11	19	33
OB_17_0286.T1	6	14	21	41
OB_17_0286.T2	0	16	19	35
OB_17_0290.T1	5	27	22	54
OB_17_0294.T1	21	25	29	75
OB_17_0294.T2	5	35	27	67
OB_17_0312.T1	7	33	18	58
OB_17_0312.T2	10	18	13	41
